Title,Genre,Descriptions
Dracula,Horror,"This version of Dracula is closely based on Bram Stoker's classic novel of the same name. A young lawyer (Jonathan Harker) is assigned to a gloomy village in the mists of eastern Europe. He is captured and imprisoned by the undead vampire Dracula, who travels to London, inspired by a photograph of Harker's betrothed, Mina Murray. In Britain, Dracula begins a reign of seduction and terror, draining the life from Mina's closest friend, Lucy Westenra. Lucy's friends gather together to try to drive Dracula away. - IMDb"
Ghostbusters II,Comedy / Fantasy,"Five years after the events of the first film, the Ghostbusters have been plagued by lawsuits and court orders, and their once-lucrative business is bankrupt. However, when Dana begins to have ghost problems again, the boys come out of retirement only to be promptly arrested. The Ghostbusters discover that New York is once again headed for supernatural doom, with a river of ectoplasmic slime bubbling beneath the city and an ancient sorcerer attempting to possess Dana's baby and be born anew. Can the Ghostbusters quell the negative emotions feeding the otherworldly threat and stop the world from being slimed? - IMDb"
The Patriot,Action / Drama / History / War,"It is 1776 in colonial South Carolina. Benjamin Martin, a French-Indian war hero who is haunted by his past, now wants nothing more than to live peacefully on his small plantation, and wants no part of a war with the most powerful nation in the world, Great Britain. Meanwhile, his two eldest sons, Gabriel and Thomas, can't wait to enlist in the newly formed ""Continental Army."" When South Carolina decides to join the rebellion against England, Gabriel immediately signs up to fight...without his father's permission. But when Colonel William Tavington, British dragoon, infamous for his brutal tactics, comes and burns the Martin Plantation to the ground, tragedy strikes. Benjamin quickly finds himself torn between protecting his family, and seeking revenge along with being a part of the birth of a new, young, and ambitious nation. - IMDb"
The Sorcerer,Action / Adventure / Fantasy,"Balthazar Blake (Nicolas Cage) is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath (Alfred Molina). Balthazar can't do it alone, so he recruits Dave Stutler (Jay Baruchel), a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness. It'll take all the courage Dave can muster to survive his training, save the city and get the girl as he becomes The Sorcerer's Apprentice. - IMDb"
Just Go with It,Comedy / Romance,"Danny (Adam Sandler) must engage Katherine (Jennifer Aniston), his faithful assistant, to pretend to be his soon to be ex-wife. Danny must pretend that he is married, because he lied to his dream girl, Palmer (Brooklyn Decker) the most gorgeous woman in the world. To keep the woman he loves, covering up one lie soon turns into many lies. - IMDb"
Public Enemies,Crime / Drama / Mystery / Thriller,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s. - IMDb"
The Aviator,Biography / Drama,"The script begins as a young Hughes directs one of Scorsese's favorite films, Hell's Angels. Hughes was so obsessed with perfection in the aerial sequences that he waits forever for perfect conditions, right down to cloud formations. The Aviator ends in 1946, when Hughes was still a dashing young man and romancing actresses like Ava Gardner and Katharine Hepburn. - IMDb"
Braveheart,Biography / Drama / History / War,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
Into the Woods,Adventure / Fantasy / Musical,"Into the Woods is a modern twist on the beloved Brothers Grimm fairy tales in a musical format that follows the classic tales of Cinderella, Little Red Riding Hood, Jack and the Beanstalk, and Rapunzel-all tied together by an original story involving a baker and his wife, their wish to begin a family and their interaction with the witch who has put a curse on them. - IMDb"
Bedtime Stories,Comedy / Family / Fantasy / Romance,"In 1974, Marty Bronson builds the Sunny Vista Motel in Los Angeles, California, with the intention of raising his son Skeeter and his daughter Wendy in the place where he works. However he is not a good businessman and the hotel goes bankrupt. Marty is forced to sell his motel to Barry Nottingham that promises to hire Skeeter in a general manager position when he grown up. Years later, Barry builds a new hotel; forgets his promise to Marty; and Skeeter Bronson is only the handyman of his hotel. The general manager is the arrogant Kendall, who is engaged with the shallow Barry's daughter Violet Nottingham. When the Webster Elementary School where Wendy is the principal will be closed to be demolished, she needs to travel to Arizona for a job interview. Wendy asks her friend Jill, who is teacher in the same school, to watch her son Patrick and her daughter Bobbi during the day and Skeeter to watch them during the night. Skeeter meets the estranged kids with his best friend Mickey and makes up bedtime stories to help them to sleep but the kids add details to the stories, changing their endings. Soon Skeeter realizes that the plot of the stories are coming true and affecting his life. Meanwhile Barry Nottingham decides to give a change to Skeeter to dispute the manager position in his new hotel with Kendall like in one of his stories. But Skeeter has told to his nephew and his niece that stories do not have happy endings. - IMDb"
Miss Congeniality,Action / Comedy / Crime,"Undercover FBI agent Gracie Hart shows no signs of having any femininity in her demeanor or appearance. Generally a bright and capable agent, she is in trouble at work when she makes an error in judgment in a case which results in a near disaster. As such, one of her by-the-books colleagues, Eric Matthews, who has never shown any inclination of thinking outside the box, is assigned to lead the high profile case of a terrorist coined The Citizen instead of her, while she is facing possible disciplinary action. Gracie pieces together the evidence to determine that The Citizen's next target will be the Miss United States beauty pageant. The pageant represents everything that Gracie abhors. Despite Gracie's mannish demeanor, Eric, with no other undercover female agent remotely fitting the demographic, assigns her to go undercover as a pageant contestant to see if she can flush out The Citizen, who is perhaps one of the other contestants. Although the pageant administration, led by former winner Cathy Morningside and long time host Stan Fields, provide the FBI with access to the pageant, Cathy in particular is less than thrilled to have a non-credible Gracie posing as a contestant which she feels will ruin the pageant. The FBI enlist the assistance of former pageant contestant coach Victor Melling, who is facing his own disgrace associated with the pageant, to do the near impossible task of transforming Gracie, not only into a woman, but a credible beauty pageant contestant. As Gracie proceeds in the transformation, she gets to know the other contestants, not only as potential criminals, but also as real people. She also discovers that another sinister element is present at the pageant. She will do whatever it takes to quash that element and protect her new friends, namely the other innocent contestants. But now displaying some femininity, Gracie begins to have more womanly feelings herself and in turn attracts the attention of men, one in particular about who she is happy. - IMDb"
End of Days,Action / Fantasy / Horror / Mystery,"In 1979, an innocent newborn girl is secretly patronized by Satanists. Twenty years later, she has developed into a young woman, who is haunted by dreams about one strange man. Menawhile, private security guard Jericho takes down an old and homeless priest, who tried to shoot Jericho's customer, a successful Wall Street Banker. What Jericho does not know is that Satan himself roams the Streets of New York in order to mate with the chosen girl. If he manages to do so in the last hour before the next millenium, his only chance to get out of his eternal prison is gone and he has to wait another thousand years. Now it is up to atheist Jericho to find the girl before Satan does and protect her from harm. But Jericho does not have a clue who he's up against..."
Battle Los Angeles,Action / Sci-Fi,"Los Angeles and other cities around the world are being bombarded by meteors that seem to be slowing down once they hit the earth's atmosphere. The earth is suddenly being invaded by space aliens that have landed off the shore of LA, and who begin killing everybody along the beach. The military is ordered into action. Marine Staff Sergeant Nantz (Aaron Eckhart), who was about to retire, is reassigned to a new platoon. The platoon, flown by chopper to the forward operating base at Santa Monica Airport, is being led by a new 2nd Lt. Martinez (Ramon Rodriguez). They are sent on a mission to rescue some civilians who are trapped at the police station within alien territory. They only have 3 hours to complete their mission and get out before the Air Force bombs that zone. - IMDb"
Fury,Action / Drama / War,"April, 1945. As the Allies make their final push in the European Theatre, a battle-hardened Army sergeant named Wardaddy (Brad Pitt) commands a Sherman tank and his five-man crew on a deadly mission behind enemy lines. Outnumbered, and out-gunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany. - IMDb"
Due Date,Adventure / Comedy,"In Atlanta on business, straight-laced and overly analytical architect Peter Highman is flying home to Los Angeles and his wife Sarah for the imminent birth of their first child. However, traveling by plane no longer becomes an option when he and a fellow passenger, aspiring actor Ethan Tremblay, are kicked off the plane, which was caused by Ethan's social inappropriateness, due to being generally unaware, exacerbated by Peter's temper at a situation against his sensibilities. Peter, who ends up without money or his suitcase, is forced to accept Ethan's offer of a shared car ride to Los Angeles, Ethan who is looking for his big acting break. For Peter, this partnership is one made in hell, but he feels he has no other choice. Peter obviously wants to take as direct and as quick a route as possible, while he is at Ethan's mercy as the person with the driver's license, car rental and money. They get into one misadventure after another on this trip, with the same issue at each ... - IMDb"
A Series of Unfortunate Events,Adventure / Comedy / Family / Fantasy,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune. - IMDb"
Australia,Adventure / Drama / Romance / War,"In northern Australia at the beginning of World War II, an English aristocrat inherits a cattle station the size of Maryland. When English cattle barons plot to take her land, she reluctantly joins forces with a rough-hewn stock-man to drive 2,000 head of cattle across hundreds of miles of the country's most unforgiving land, only to still face the bombing of Darwin, Australia, by the Japanese forces that had attacked Pearl Harbor only months earlier. - IMDb"
Master and Commander: The Far Side of the World,Action / Adventure / Drama / War,"In April 1805 during the Napoleonic Wars, H.M.S. Surprise, a British frigate, is under the command of Captain Jack Aubrey. Aubrey and the Surprise's current orders are to track and capture or destroy a French privateer named Acheron. The Acheron is currently in the Atlantic off South America headed toward the Pacific in order to extend Napoleon's reach of the wars. This task will be a difficult one as Aubrey quickly learns in an initial battle with the Acheron that it is a bigger and faster ship than the Surprise, which puts the Surprise at a disadvantage. Aubrey's single-mindedness in this seemingly impossible pursuit puts him at odds with the Surprise's doctor and naturalist, Stephen Maturin, who is also Aubrey's most trusted advisor on board and closest friend. Facing other internal obstacles which have resulted in what they consider a string of bad luck, Aubrey ultimately uses Maturin's scientific exploits to figure out a way to achieve his and the ship's seemingly impossible goal. - IMDb"
The Jungle Book,Animation / Adventure / Family / Musical,"Abandoned after an accident, baby Mowgli is taken and raised by a family of wolves. As the boy grows older, the wise panther Bagheera realizes he must be returned to his own kind in the nearby man-village. Baloo the bear however thinks differently taking the young Mowgli under his wing and teaching that living in the jungle is the best life there is. Bagheera realizes that Mowgli is in danger, particularly from Shere Khan the tiger who hates all people. When Baloo finally comes around, Mowgli runs off into the jungle where he survives a second encounter with Kaa the snake and finally, with Shere Khan. It's the sight of a pretty girl however that gets Mowgli to go the nearby man-village. - IMDb"
The Others,Horror / Thriller,"A woman named Grace retires with her two children to a mansion on Jersey, towards the end of the Second World War, where she's waiting for her husband to come back from battle. The children have a disease which means they cannot be touched by direct sunlight without being hurt in some way. They will live alone there with oppressive, strange and almost religious rules, until she needs to hire a group of servants for them. Their arrival will accidentally begin to break the rules with unexpected consequences. - David Villalmanzo, IMDb"
Red Dragon,Crime / Drama / Thriller,"3 Years after retiring from the FBI because of a near-fatal encounter with Hannibal Lecter, who was helping him catch the ""Chesapeake Ripper"", only to reveal it was Hannibal himself, Will Graham is asked by his ex-partner Jack Crawford to come solve one last case - 2 slaughtered families every full moon. They have 3 weeks until the next full moon to find the madman, but an innocent blind woman has found him first... Will Graham must risk his family's security and his own safety to track down this one last murderer - the epitome of all evil - The Red Dragon. - Andrew Tenebrae, IMDb"
Tomorrowland,Action / Adventure / Family / Mystery / Sci-Fi,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland."" - IMDb"
Dungeons & Dragons: Honor Among Thieves,Action / Adventure / Comedy / Fantasy,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people. - IMDb"
Safe House,Action / Crime / Mystery / Thriller,"Matt Weston (Ryan Reynolds) is a CIA rookie who is manning a safe house in Cape Town, South Africa, when Tobin Frost (Denzel Washington) the CIA's most wanted rogue agent is captured and taken to the safe house. During Frost's interrogation, the safe house is overtaken by mercenaries who want Frost. Weston and Frost escape and must stay out of the gunmen's sight until they can get to another safe house. - IMDb"
Traffic,Crime / Drama / Thriller,"A modern day look at America's war on drugs told through four separate stories that are connected in one way or another. A conservative judge who's just been appointed as the US drug czar learns that his teenage honor student daughter is a drug addict. A beautiful trophy wife struggles to save her wealthy husband's drug business, while two DEA agents protect a witness with inside knowledge of the spouse's business. In Mexico, a slightly corrupt, yet dedicated cop struggles with his conscience when he learns that his new boss may not be the anti-drug official he made himself out to be. - IMDb"
Paranormal Activity 3,Horror / Mystery / Thriller,"In 1988, in California, cinematographer Dennis moves to the house of his girlfriend Julie to raise a family with her daughters Katie and Kristi. Little Kristi has an imaginary friend named Toby while weird things happen in the house. Dennis decides to place cameras in the house to capture images during the night and soon he finds that there is an entity in the house. Dennis's friend Randy Rosen (Dustin Ingram) researches the events and learns that his house might be a coven of witches and the children may be in danger. - IMDb"
Joker: Folie à Deux,Musical / Thriller,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital. - IMDb"
The Marvels,Action / Adventure / Fantasy,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe. - IMDb"
Sleepy Hollow,Drama / Horror / Mystery,"The classic story of ""The Legend Of Sleepy Hollow"" is brought to life by the gothic film maker Tim Burton. Johnny Depp plays Ichabod Crane, and to win the heart of Katrina Van Tassel (Christina Ricci) he will have to brave the nearby woods, even though several decapitated bodies have been found. And then the legend of the axe wielding headless horsemen come together to make this movie."
Little Women,Drama / Romance,Four sisters come of age in America in the aftermath of the Civil War. - IMDb
The Holiday,Comedy / Romance,"In London, Iris Simpkins writes a wedding column in a newspaper and nurtures an unrequited love for her colleague Jasper Bloom. Near Christmas, she is informed that Jasper is engaged to marry another colleague, and her life turns upside down. In Los Angeles, the movie-trailers maker Amanda Woods has just split with her unfaithful boyfriend Ethan and wants to forget him. Through a house exchange website, Amanda impulsively swaps her mansion for Iris' cottage in Surrey for the holidays. While in Surrey, Amanda meets Iris' brother and book editor Graham and they fall in love with each other. Meanwhile, Iris meets her new next door neighbor the ninety year old screenplay writer Arthur, who helps her retrieve her self-esteem, and the film composer Miles, with whom she falls in love. - IMDb"
London Has Fallen,Action / Crime / Thriller,"After the British Prime Minister has passed away under mysterious circumstances, all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth, turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States, his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it. - IMDb"
A Dog,Adventure / Comedy / Drama / Family / Fantasy,A dog looks to discover his purpose in life over the course of several lifetimes and owners. - IMDb
Snow White,Adventure / Family / Fantasy / Musical / Romance,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen. - IMDb
JFK,Drama / History / Thriller,"On November 22, 1963, president John F. Kennedy is assassinated in Dallas. Lee Harvey Oswald is arrested for the crime and subsequently shot by Jack Ruby, supposedly avenging the president's death. An investigation concludes that Lee Harvey Oswald and Jack Ruby acted alone in their respective crimes, but Louisiana district attorney Jim Garrison is skeptical. Assembling a trusted group of people, Garrison conducts his own investigation, bringing about backlash from powerful government and political figures. - IMDb"
White House Down,Action / Drama / Thriller,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country. - IMDb"
The Break-Up,Comedy / Drama / Romance,"In Chicago, the art dealer Brooke Meyers feels not appreciated and neglected by her immature boyfriend Gary Grobowski, who is partner with his two brothers in a tourism business, and decides to break-up with him to make Gary miss her. Gary misunderstands her true intention, both follow the wrong advice of family members and friends, beginning a war of sexes with no winner. - IMDb"
King Arthur,Action / Adventure / Drama / History / War,"Based on a more realistic portrayal of ""Arthur"" than has ever been presented onscreen. The film will focus on the history and politics of the period during which Arthur ruled -- when the Roman empire collapsed and skirmishes over power broke out in outlying countries -- as opposed to the mystical elements of the tale on which past Arthur films have focused. -  Scott Summerton, IMDb"
Arrival,Drama / Mystery / Sci-Fi / Thriller,"When mysterious spacecraft touch down across the globe, an elite team - led by expert linguist Louise Banks - are brought together to investigate. As mankind teeters on the verge of global war, Banks and the team race against time for answers - and to find them, she will take a chance that could threaten her life, and quite possibly humanity. - IMDb"
Hairspray,Comedy / Musical / Romance,"Tracy Turnblad, an overweight teenager with all the right moves, is obsessed with the Corny Collins Show. Every day after school, she and her best friend Penny run home to watch the show and drool over the hot Link Larkin, much to Tracy's mother Edna's dismay. After one of the stars of the show leaves, Corny Collins holds auditions to see who will be the next person on the Corny Collins show. With all of the help of her friend Seaweed, Tracy makes it on the show, angering the evil dance queen Amber Von Tussle and her mother Velma. Tracy then decides that it's not fair that the black kids can only dance on the Corny Collins Show once a month, and with the help of Seaweed, Link, Penny, Motormouth Maybelle, her father and Edna, she's going to integrate the show.....without denting her 'do! - IMDb"
Gake no ue no Ponyo,Animation / Family / Fantasy,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human. - IMDb"
Patch Adams,Biography / Comedy / Drama / Romance,"Patch Adams is determined to become a medical doctor because he enjoys helping people. Unfortunately, the medical and scientific community does not appreciate his methods of healing the sick, while the actual patients, medical professors, and hospital nurses all appreciate the work *he* can do, because they are unable to do it. - IMDb"
PAW Patrol: The Mighty Movie,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Sci-Fi,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups - IMDb"
Fun with Dick and Jane,Comedy / Crime,"The day before Globodyne's stock tanks, a la Enron, and its pension fund evaporates, the corporation's CEO and CFO set up middle manager Dick Harper to be the public face of the disaster. Jobless, and with no savings, pension, or home equity, Dick and his wife Jane sink slowly into poverty. He looks for work (as do all former Globodyne executives); he even tries day labor with the relatives of their Mexican nanny. A foreclosure notice sends Dick and Jane over the edge into a life of blue-collar crime. Then, as things finally look up, the report of an looming indictment pushes Dick and Jane toward a denouement with the real criminals, the white-collar guys. - IMDb"
The Conjuring: The Devil Made Me Do It,Horror / Mystery / Thriller,The Warrens investigate a murder that may be linked to a demonic possession. - IMDb
Kindergarten Cop,Action / Comedy / Crime,"John Kimble is a tough city cop who's been on the trail of drug dealer Cullen Crisp for years. He finally tracks Crisp down but it seems the only person that can testify against him is his ex-wife. The problem is she's disappeared and all Kimble knows is the name of the school in Oregon where her son attends. When things don't quite go to plan, Kimble finds he has to go undercover on his toughest assignment yet - Kindergarten teacher! - IMDb"
Ghostbusters: Frozen Empire,Adventure / Comedy / Fantasy / Sci-Fi,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age. - IMDb"
21 Jump Street,Action / Comedy / Crime,"In high school, Schmidt (Jonah Hill) was a dork and Jenko (Channing Tatum) was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs. - IMDb"
Yogi Bear,Animation / Adventure / Comedy / Family,"Jellystone Park is celebrating its 100th anniversary, however it may be for the last time, because attendance is down and Mayor Brown wants to close the park and sell the land. If the park is closed, Yogi Bear and Boo Boo will lose their home. They join forces with Ranger Smith to save Jellystone from closing forever. Yogi must really prove in this endeavor that he is ""smarter than the average bear"". - IMDb"
Cats & Dogs,Action / Comedy / Family / Fantasy,"A secret war between cats and dogs quickly peaks as Professor Brody a scientist tries to create a serum to cure dog allergies in humans. As the unsuspecting humans go through their busy lives, the cats make several attempts to possess the formula, as their canine foes try tirelessly to stop them. Caught in the crossfire, a young beagle named Lou, adopted by the Brody family, tries hard to succeed as a secret agent, and in being a friend to the young Scotty Brody. A evil snow white cat named Mr. Tinkles is planning to sabotage the efforts of Professor Brody to discover a cure for human allergies to dogs. And he'll even make every person on Earth allergic to dogs so that he can take over the world with his army of evil cats! - IMDb"
The Hunt for Red October,Action / Adventure / Thriller,"Based on the Best Selling novel by Tom Clancy this film tells the story of Captain Marko Ramius, the skipper of the Soviet Union's newest nuclear sub. Jack Ryan of the CIA gets involved in a tense, tangled hunt for this sub, when Ramius defects, taking the ""Red October"" with him. The story is an action packed techno-thriller."
Valkyrie,Drama / Thriller / War,"It is 1944, and Nazi Germany is in full force in Europe. As Hitler governs his troops with an iron fist, a group of top level officers realize that the Fuhrer could destroy Germany and all of Eastern Europe in his quest for total domination. Unwilling to see their beloved country lost in this way, these officers plot to assassinate their own leader, and assume control themselves, saving what they can of what they've held dear and sworn to defend their whole lives. But at what price?"
The Addams Family,Animation / Comedy / Family / Fantasy / Horror,"An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family. - IMDb"
You Don,Action / Comedy,"Zohan Dvir works as a Special Agent and lives with his orthodox parents in Israel. He wants to give up this life full of dangerous encounters with Palestinians. While in the process of apprehending a Palestinian activist known simply as the Phantom, he fakes his death, hides in a dog-kennel on a plane bound for New York, and decides to try his hand as a hair-stylist. He is refused employment initially, but when he offers to work for free, Dahlia hires him as a cleaner. When a hair-stylist named Debbie quits, Zohan replaces her, winning over elderly female clientèle, and falling in love with Dahlia herself. Before Zohan could propose to her, Dahlia's landlord, Walbridge, who has been raising rents regularly, hires skinhead goons to terrorize the neighborhood, creates misunderstandings between Jews, Muslims, Arabs, and Palestinians, and drives them out, so as to enable him to construct a new building which is topped by a roller coaster. When Zohan decides to confront these skinheads, he does not realize that he is in for quite a few surprises himself. - IMDb"
Percy Jackson: Sea of Monsters,Adventure / Family / Fantasy,"In this retelling of Rick Riordans book, ""The Sea of Monsters"", Percy Jackson, accompanied by his friends Annabeth Chase, Clarisse La Rue and Tyson, his half brother, goes on a journey to the Sea of Monsters to retrieve the Golden Fleece and save Camp Half-Blood. - IMDb"
Two Weeks Notice,Comedy / Romance,"Harvard educated lawyer Lucy Kelson, following in the footsteps of her lawyer parents, uses her career for social activism. She hides any sense of femininity behind her work. George Wade is the suave public face of the Manhattan-based Wade Corporation, a development firm that Lucy routinely opposes and whose true head is George's profit-oriented brother, Howard Wade. George, who has a reputation as a lady's man, has had as his legal counsel a series of beautiful female lawyers with questionable credentials, they who have more primarily acted as his casual sex partners. Needing a real lawyer, he offers Lucy the job of his legal counsel on a chance meeting. Despite warnings from her parents in working for the ""enemy"", Lucy, who has no intention of being the latest in his bed partners, accepts the job as she feels she can do more good from the inside, and as George, as part of the job offer, promises not to demolish a community center in a heritage building as part of a development project near her childhood Coney Island home where her parents still live. Although Lucy is able to effect the type of change she wanted from this position, she finds she cannot deal with George's expectations of her, namely being his primary confidante and advisor at all hours of the day and night, mostly about issues she considers frivolous. As such, she gives her two weeks notice, although she promises to help George find her replacement. As Lucy begins to review resumes, George himself unilaterally decides to hire June Carver, a fellow Harvardite, but who seems to have her sights set on George as both a boss and personal partner. As June begins to replace Lucy in seemingly all aspects of George's life, Lucy begins to realize that she herself has fallen for George. However, Lucy's feelings for George and her attempts to re-ingratiate herself into George's life are placed into jeopardy when she learns of a Wade Corporation decision against her basic sensibilities. - IMDb"
RED,Action / Comedy / Crime / Thriller,"Frank (Bruce Willis) is retired, bored and lonely living off his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life are his calls to the government pension processing center when he gets to talk to his case worker Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces Frank back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into Frank's past and the people he used to work with. Like Frank they are all RED ... Retired Extremely Dangerous. - IMDb"
Garfield,Animation / Comedy / Family / Fantasy,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition. One night Odie runs away and gets dog-napped after Garfield locks him outside. Garfield, in an out of character move, goes to search for and rescue Odie with the help of a variety of animal friends along the way. - IMDb"
Chak dan juen ga 2,Action / Crime / Thriller,"A terrorist expert in explosives, whose gang has been dismantled, seeks revenge. He threatens to blow up a Hong Kong tunnel with hundreds of hostages. The policeman who has already beaten him once must stop him again. - IMDb"
City of Angels,Drama / Fantasy / Romance,"Seth is an angel who accompanies the spirits of the recently dead to the ever after. Seth has never been human and so has has never experienced touch or taste. When in the hospital however he comes across Dr. Maggie Rice, a brilliant young heart surgeon who is devoted to her profession and her patients. Seth has the power to let himself be seen but Maggie finds him far too mysterious. Seth also meets a patient, Nathaniel Messinger, who has news for him - he too was once an angel like Seth but chose to fall to Earth and become human. Seth makes a decision on his future, which does not turn out as he had expected. - IMDb"
The Pacifier,Action / Comedy / Drama / Family / Thriller,"After a Navy SEAL fails to rescue a scientist who developed a top secret device, he is assigned to guard the man's children while searching for information on where the device may be hidden inside the house. Along the way, he must cope with rebellious teens, child care, an overbearing school official, and foreign spies also looking for it. - IMDb"
Lo imposible,Drama / Thriller,"A regular family - Maria (Naomi Watts), Henry (Ewan McGregor) and their three kids - travel to Thailand to spend Christmas. They get an upgrade to a villa on the coastline. After settling in and exchanging gifts, they go to the pool, like so many other tourists. A perfect paradise vacation until a distant noise becomes a roar. There is no time to escape from the tsunami; Maria and her eldest are swept one way, Henry and the youngest another. Who will survive, and what will become of them? - IMDb"
Christopher Robin,Adventure / Comedy / Drama / Family / Fantasy,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life. - IMDb"
Jack the Giant Slayer,Adventure / Fantasy,"Sent to the market by his uncle to sell their horse and buy thatch for their roof, Jack meets the beautiful Princess Isabelle whom he rescues her from ruffians. He returns home only with a handful of beans given to him by a monk who claimed they were sacred but that does little to impress his uncle who tosses them away. In the night the Princess arrives having run off to keep from marrying Roderick who is clearly only interested in becoming king. Soon the beans take root with a giant stalk carrying away the princess and Jack's house. He soon sets off on an adventure with the king's guards to rescue the princess only to find that a mythical land filled with giants really exists. - IMDb"
Ghostbusters: Afterlife,Comedy / Fantasy,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind. - IMDb"
Spy Kids 3-D: Game Over,Action / Adventure / Comedy / Family / Sci-Fi,"The adventures of pint-sized secret agents Juni and Carmen Cortes (Daryl Sabara and Alexa Vega) continue. As Spy Kids 3-D: Game Over opens, Juni has left the spy agency and launched a career as a private detective--but when he learns that his sister Carmen has disappeared into a nefarious multi-user computer game, he agrees to go in after her, with the assistance of his grandfather (Ricardo Montalban). Three-dimensional special effects launch us into a topsy-turvy world of battling robots, souped-up motorcycle races, frogs on pogo sticks, surfing on hot lava, and much, much more. The story is even more incoherent than an actual computer game--but the movie storms along, driven by writer/director/editor/everything-else Robert Rodriguez's sheer visual enthusiasm. Featuring Sylvester Stallone, Antonio Banderas, Carla Gugino, and everyone else who appeared in the first two Spy Kids movies. - Bret Fetzer"
Panic Room,Thriller,"This story centers around a divorced woman in her 30's and her daughter, who are caught up in a cat-and-mouse game inside their new New York brownstone when three burglars come looking for a hidden cache of cash. Mother and daughter hide in the ""panic room,"" a secret room designed for just such a purpose, but still end up fighting for their lives..."
Stargate,Action / Adventure / Sci-Fi,"In 1928, in Egypt, a strange device is found by an expedition. In the present days, the outcast linguist Dr. Daniel Jackson is invited by a mysterious woman to decipher an ancient hieroglyph in a military facility. Soon he finds that the device was developed by an advanced civilization and opens a portal to teletransport to another planet. Dr. Jackson is invited to join a military team under the command of Colonel Jonathan 'Jack' O'Neil that will explore the new world. They find a land that recalls Egypt and humans in a primitive culture that worship and are slaves to Ra, the God of the Sun. But soon they discover the secret of the mysterious ""stargate"". - IMDb"
